epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1254.17,1.72191,1.36961,1.71746,0.55344,0.40567,0.40946,0.18301,2.11878,1.63279,2.0935,0.00729725,0.00729725,0.00729725
44,1282.34,1.71355,1.38581,1.72872,0.47917,0.39577,0.41969,0.19521,2.07383,1.55771,2.04869,0.00718103,0.00718103,0.00718103
45,1310.02,1.69335,1.36106,1.68888,0.54262,0.38247,0.39895,0.17778,2.10824,1.57527,2.1034,0.00706335,0.00706335,0.00706335
46,1337.2,1.72278,1.35895,1.71239,0.57669,0.3608,0.40524,0.18315,2.05698,1.59198,2.04054,0.00694428,0.00694428,0.00694428
47,1365.47,1.67737,1.33914,1.69127,0.44608,0.39532,0.39411,0.17804,2.12446,1.64932,2.1443,0.00682392,0.00682392,0.00682392
48,1393.83,1.69045,1.33592,1.69667,0.56239,0.3913,0.41769,0.1894,2.0842,1.54814,2.05418,0.00670234,0.00670234,0.00670234
49,1422.28,1.67923,1.32143,1.69346,0.56176,0.36633,0.39845,0.17581,2.18129,1.61702,2.15533,0.00657963,0.00657963,0.00657963
50,1450.62,1.70384,1.33926,1.6998,0.48323,0.38656,0.41455,0.18602,2.11358,1.53879,2.08122,0.00645588,0.00645588,0.00645588
51,1479.41,1.67995,1.33082,1.70563,0.44026,0.38016,0.39933,0.18092,2.05789,1.60526,2.01604,0.00633115,0.00633115,0.00633115
52,1507.79,1.64526,1.27281,1.65289,0.51222,0.40505,0.42583,0.18947,2.14488,1.56095,2.14697,0.00620555,0.00620555,0.00620555
53,1536.72,1.67544,1.32995,1.68863,0.53609,0.40058,0.39693,0.18335,2.10927,1.60846,2.10643,0.00607916,0.00607916,0.00607916
54,1564.81,1.6619,1.28768,1.66024,0.48599,0.37404,0.40819,0.18505,2.09608,1.60421,2.10754,0.00595207,0.00595207,0.00595207
55,1593.52,1.66205,1.27949,1.66603,0.46427,0.4174,0.43151,0.20083,2.08753,1.49627,2.07904,0.00582435,0.00582435,0.00582435
56,1621.75,1.6455,1.27213,1.63822,0.48818,0.4071,0.43054,0.19821,2.04764,1.50324,2.05257,0.0056961,0.0056961,0.0056961
